PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
91,7975746,1069130,CCOC(=O)C1=C(C2=C(C=CC=C2O1)O)CN(CC3=CC=CC=C3)C(=O)C,Inactive,11,,,6.94,1.04608,8.1173,7.13289,5.57631
92,4257958,1246314,C1=CC=C2C(=C1)C(=C(S2)C(=O)NC3=NOC=C3)Cl,Inactive,11,,,6.87,0.617306,7.31428,7.28876,5.99221
93,24793789,2956180,COCCCNC(=S)NNC(=O)C1=CC=CC=N1,Inactive,11,,,6.86,1.21226,6.58606,8.46173,5.53028
94,26731999,16746197,C1CCC(C1)NC2=C(C=C(C=C2)C(CC(=O)N)NC(=O)CC3=CC=C(C=C3)Cl)[N+](=O)[O-],Inactive,11,,,6.83,0.795557,5.71824,7.25253,7.52584
95,85148869,44144063,COC1=CC=C(C=C1)[C@@H]2CC(=CC(=O)C2)C3=CC(=C(C=C3)Cl)F,Inactive,11,,,6.81,0.790277,7.03343,5.74937,7.64591
96,26726371,5422858,CC1=CC2=C(C=C1N)N=C3C(=N2)C(=O)N(C(=O)N3)CCC4=CC=CC=C4,Inactive,11,,,6.79,1.18004,6.14836,8.44706,5.78007
97,85199918,4790006,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC(=CN=C2)Br)N3C=CC=C3,Inactive,11,,,6.74,0.392788,6.53424,7.28894,6.39478
98,121286086,24792611,CC[C@]12[C@@H]3[C@H]([C@H](N1C(=O)N(C2=O)C4=CC=C(C=C4)OC)C5=CC=C(C=C5)Cl)C(=O)N(C3=O)C6CCCCC6,Inactive,11,,,6.7,0.763386,7.2252,5.62316,7.25935
99,49730787,20874968,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC(=CC=C3)NC4=NC5CS(=O)(=O)CC5S4,Inactive,11,,,6.66,1.51239,6.06061,8.74043,5.18539
100,24784830,16188532,CN1C=C(C=N1)CNC(=O)C2=CC=C(C=C2)OC3CCN(CC3)S(=O)(=O)N(C)C,Inactive,11,,,6.65,1.5863,7.60731,4.41723,7.9335
101,99456488,18565526,COC1=CC=C(C=C1)N2C(=NN=N2)CNC(=O)C3CC(=O)N(C3)C4=CC=C(C=C4)F,Inactive,11,,,6.59,0.723756,5.98261,6.1807,7.60736
102,49664965,17295849,C1CC1NCC2=CC=C(C=C2)C3=CC=CC=C3.Cl,Inactive,10,,,6.5,1.22429,5.22855,8.15587,6.12826
103,14734488,2975612,CC1=CC=C(O1)C2CC(=O)NC3=CC4=C(C=C23)OCO4,Inactive,10,,,6.45,1.40721,5.46156,8.43645,5.44116
104,49727587,3163455,CC1=NC(=CC=C1)NC(=O)CCS(=O)(=O)C2=CC=CC=C2,Inactive,10,,,6.43,0.510249,6.45802,7.03985,5.79097
105,57260895,25162939,CC1=C(C2=C(N1)C=CC(=C2)OC)CCNCC3=CN=CC=C3.C(=O)(C(=O)O)O,Inactive,10,,,6.43,0.934253,7.1325,7.04001,5.10603
106,24809038,776370,C1CCN(C1)C2=C3C4=C(C5=CC=CC=C5C3=O)ON=C4C=C2,Inactive,10,,,6.34,0.652992,5.56969,6.28494,7.16631
107,26663338,5885550,CC1=CC=CN2C1=NC(=C(C2=O)/C=C(\C#N)/C(=O)NCC3=CC=CC=C3)N4CCC(CC4)C(=O)N,Inactive,10,,,6.32,1.21013,4.75481,7.69973,6.51971
108,24810462,135472701,CC1(CC(=C(C(=O)C1)C=NC2=C(C=C(C=C2)C(=O)C3=CC=CC=C3)N=CC4=C(CC(CC4=O)(C)C)O)O)C,Inactive,10,,,6.31,1.25104,8.02238,5.07569,5.82055
109,22404799,1816029,CCCCOC1=NC2=CC=CC=C2C(=O)N1C3=CC=CC=C3,Inactive,10,,,6.3,0.599773,5.45269,6.75031,6.69808
110,14726020,1093252,CCOC(=O)N1CCN(CC1)CC2=NC(=NO2)C3=CC=C(C=C3)Cl,Inactive,10,,,6.28,1.69559,8.37461,4.22202,6.23022
111,99360866,323633,C1=CC=C(C=C1)S(=O)(=O)NC(CCC2=NC3=CC=CC=C3N2)C(=O)N,Inactive,10,,,6.17,1.26272,5.02094,7.92592,5.55369
112,24805981,3156634,COC(=O)C(CCSC)NC(=O)C1=CC2=C(CCCC2=O)N(C1=O)C3=CC=CC=C3,Inactive,10,,,6.13,0.795846,7.25439,5.64589,5.49636
113,57257913,24636016,CC(C)(C)C1=CC=C(C=C1)OCCC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)OC,Inactive,10,,,6.08,0.746934,6.59902,6.61072,5.02042
114,24825143,6028554,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)CC4=CC=CO4)O,Inactive,9,,,5.95,0.277772,6.28364,5.95659,5.60341
